,url,originalTitle,description,averageRating,numVotes,metascore
73,https://www.imdb.com/title/tt0875887/,Fuse Celebrity Playlist,"All new countdown show where Fuse spotlights celebrities counting down the music videos they love, while giving you sneak peak at their latest movies, TV shows, albums, and more.",3.6,18.0,
74,https://www.imdb.com/title/tt0934911/,MovieReal: We Are Marshall,,7.8,33.0,
75,https://www.imdb.com/title/tt0950474/,What It Takes,,6.2,32.0,
76,https://www.imdb.com/title/tt0427229/,Failure to Launch,A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.,5.7,92324.0,47.0
77,https://www.imdb.com/title/tt0758794/,We Are Marshall,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive.",7.1,66997.0,53.0
78,https://www.imdb.com/title/tt0450351/,My Crazy Life,,7.0,27.0,
79,https://www.imdb.com/title/tt0478966/,Absolute Evel: The Evel Knievel Story,,7.1,39.0,
80,https://www.imdb.com/title/tt0847883/,Making Dazed,"This Actual Reality Pictures original documentary (directed by Kahane Corn) reunites the cast of Dazed and Confused and features behind-the-scenes footage from the making of the film. A decade after the hit comedy's 1993 release, director Richard Linklater reunited the cast -- Ben Affleck, Matthew McConaughey, Parker Posey and Adam Goldberg -- to celebrate the ten year anniversary of the film that helped launch their careers. Now you can watch the cast look back on the movie that changed their lives and on the decade that has passed since.",7.8,103.0,
81,https://www.imdb.com/title/tt0417217/,Two for the Money,"After suffering a career-ending knee injury, a former college football star aligns himself with one of the most renowned touts in the sports-gambling business.",6.2,52867.0,50.0
82,https://www.imdb.com/title/tt0318649/,Sahara,"Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator.",6.1,107670.0,41.0
83,https://www.imdb.com/title/tt0356622/,Frat Boys,,5.4,30.0,
84,https://www.imdb.com/title/tt0361185/,Freedom: A History of US,A sixteen episode mini-series of the history of America.,5.6,507.0,
85,https://www.imdb.com/title/tt0251127/,How to Lose a Guy in 10 Days,"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days.",6.5,307169.0,45.0
86,https://www.imdb.com/title/tt1058545/,The Lost Dinosaurs of Egypt,,6.7,16.0,
87,https://www.imdb.com/title/tt0316768/,Tiptoes,The story of a peculiar love triangle involving two brothers.,4.2,6557.0,
88,https://www.imdb.com/title/tt0253556/,Reign of Fire,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.",6.2,150764.0,39.0
89,https://www.imdb.com/title/tt0268690/,Thirteen Conversations About One Thing,"In New York City, the lives of a lawyer, an actuary, a house-cleaner, a professor and the people around them intersect as they ponder order and happiness in the face of life's cold unpredictability.",7.0,11787.0,74.0
90,https://www.imdb.com/title/tt0264616/,Frailty,"A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to destroy people who were in fact ""demons.""",7.2,97621.0,64.0
91,https://www.imdb.com/title/tt0209475/,The Wedding Planner,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,5.4,91288.0,33.0
92,https://www.imdb.com/title/tt5032110/,Nulle part ailleurs: midi,,6.8,7.0,
93,https://www.imdb.com/title/tt0141926/,U-571,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,6.6,90869.0,62.0
94,https://www.imdb.com/title/tt0131369/,EDtv,A video store clerk agrees to have his life filmed by a camera crew for a television show.,6.1,46329.0,49.0
95,https://www.imdb.com/title/tt0287789/,Waking in Mississippi,"Waking in Mississippi explores the power of the national media to, surprisingly, mitigate long held animosities resulting from a legacy of slavery and Jim Crow. The irony of Hollywood fabricating a race riot for the sake of A Time to Kill provides a framework for presenting the complexity of race relations in a historically troubled region. Less than a year prior to filming, National Guardsmen were alerted to the possibility of actual race rioting in the town square, during federally monitored run-off election. Using footage of the movie production, scenes from the 1996 local premiere in Jackson, film clips, and interviews with writer John Grisham, director Joel Shumacher, actor Samuel Jackson and members of the film crew, we investigate the temporary and permanent effects of Hollywood's takeover of Canton. Local residents relate their personal experiences as extras and comment on the impact of the racially charged blockbuster. We incorporate local and national media coverage of the production, placing special emphasis on the commercial negotiations of the town's history.",7.3,20.0,
96,https://www.imdb.com/title/tt0773260/,Bravo Profiles: The Entertainment Business,"It essentially peers through a microscope at celebrity culture in general, at the film industry and its marketing might.",6.4,126.0,
97,https://www.imdb.com/title/tt0120769/,The Newton Boys,"The story of the Newton gang, the most successful bank robbers in history, owing to their good planning and minimal violence.",6.1,13003.0,57.0
98,https://www.imdb.com/title/tt0118884/,Contact,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",7.5,307168.0,62.0
99,https://www.imdb.com/title/tt0118607/,Amistad,"In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.",7.3,86250.0,64.0
